"  
No";
"  
Yes, the premise does entail the hypothesis. The premise ""Du gjer det";
"  
Yes, the premise does entail the hypothesis. The premise ""Du gjer det";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The combination of facts and speculations is indeed";
"  
Yes, the premise does entail the hypothesis. The combination of facts and speculations in this";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the White House is coming (or has come";
"  
Yes, the premise does entail the hypothesis. The premise ""Vil det hv";
"  
Yes, the premise entails the hypothesis. The ongoing conflict in Chechnya has";
"  
Yes, the premise entails the hypothesis. The premise states that Russia is facing increasing challeng";
"  
Yes, the premise entails the hypothesis. The premise states that it is not illegal for";
"  
Yes. The premise does entail the hypothesis because if it is not illegal for adults to";
"  
Yes, the premise entails the hypothesis. The premise states that there are certain characteristics that";
"  
Yes, the premise entails the hypothesis. The premise states that there are certain characteristics that";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Nasjonalparker in America are overcrowded""";
"  
Yes. The premise states that national parks in America are facing issues such as overcrow";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if you cannot see an operator of a bulld";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The first sentence states that Dr. Dreif";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is a t";
"  
Yes. The premise does entail the hypothesis because if Yiddish is not a language,";
"  
Yes, the premise does entail the hypothesis. The premise states that ""we are all";
"  
Yes, the premise entails the hypothesis. The premise states that the writer is careful in";
"  
Yes, the premise entails the hypothesis because if there is no definition of a word in the";
"  
Yes, the premise entails the hypothesis. The absence of a definition in the dictionary implies that";
"  
Yes, the premise does entail the hypothesis. The premise suggests that many people cannot do";
"  
Yes, the premise entails the hypothesis. The premise provides a basis for why something can";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis because it provides evidence that supports the conclusion that Split";
"  
Yes, the premise does entail the hypothesis. The premise describes a cosmetology shop";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Bernstein explained something";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if industrialized countries have not had a significant";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Til sl";
"  
Yes, the premise entails the hypothesis. The longer one tries to make a statement, the";
"  
Yes, the premise entails the hypothesis. The premise states that ""Men ein ting";
"  
Yes, the premise entails the hypothesis. The premise states that ""Men ein ting";
"  
Yes, the premise entails the hypothesis. The premise states that ""Gjev hov";
"  
Yes, the premise entails the hypothesis. The premise states that ""Gjev hov";
"  
Yes, the premise entails the hypothesis. The premise states that ""Ingen annan";
"  
Yes, the premise entails the hypothesis. The premise states that ""Ingen annan";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is a character";
"  
Yes, the premise entails the hypothesis. The use of ""lite"" and ""light";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The use of ""blei"" in this context";
"  
Yes, the premise does entail the hypothesis. The use of ""blei"" in this";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Og til";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Og til";
"  
Yes, the premise entails the hypothesis because if you are on a ranch, you may";
"  
Yes, the premise entails the hypothesis because it implies that people on the ranch use different";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Dei original dy";
"  
Yes, the premise entails the hypothesis because if all original animal metaphors are nearly ext";
"  
Yes, the premise entails the hypothesis. The premise states that it is ""the most";
"  
Yes, the premise entails the hypothesis. The premise states that it is ""the most";
"  
Yes, the premise entails the hypothesis because if the name of a unit of weight is changed";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if Han had not made a mistake by calling B";
"  
Yes, the premise entails the hypothesis because if there were a big earthquake in the";
"  
Yes, the premise entails the hypothesis. The premise states that ""the whole bill is";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that an informant in";
"  
Yes, the premise entails the hypothesis. The term ""dog weather"" is used in Tennessee";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""I most vanleg";
"  
Yes, the premise entails the hypothesis. The premise states that most people do not use";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
 The premise states;
"  
Yes, the premise entails the hypothesis. The premise states that there are more ""c";
"  
Yes, the premise entails the hypothesis. The premise states that ""Eit anna";
"  
Yes, the premise entails the hypothesis. The premise states that ""Eit anna";
"  
Yes, the premise entails the hypothesis. The premise states that grammatik and gl";
"  
Yes, the premise entails the hypothesis. The premise states that ""Grammatik";
"  
Yes";
"  
Yes";
"  
Yes. The premise suggests that adding adjectives to ethnic terms can soften them,";
"  
Yes. The premise suggests that using adjectives to soften ethnic terms can make them";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that some of the words in";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that one of the last states";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Og vi";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the speaker wants to buy";
"  
Yes, the premise does entail the hypothesis. The premise states that the person wants an";
"  
Yes. The premise ""Blod og vatn er ikkje som mat"" implies";
"  
Yes. The premise ""Blod og vatn er ikkje som mat"" implies";
"  
Yes, the premise entails the hypothesis. The premise states that one of the most important";
"  
Yes. The premise does entail the hypothesis because if it is true that naming a problem doesn";
"  
Yes. The premise suggests that ethnic groups are so confident in themselves that they do not feel";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The word ""gøystar"" is";
"  
Yes, the premise entails the hypothesis. The word ""gøystar"" is a";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise implies that the product is of poor quality and not well-made, which";
"  
Yes. The premise states that Slokk is a cheap and half-made product, which implies";
"  
Yes""";
"  
Yes""";
"  
Yes, the premise does entail the hypothesis. The premise states that he will be rid";
"  
Yes, the premise entails the hypothesis because if he was going to dig up America, it";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that all speakers of English";
"  
Yes, the premise entails the hypothesis. The premise states that all English speakers are";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Spanjolspråk og svør er ein fin oppfinning";
"  
Yes. The premise states that ""the lingua franca of Europe was a hybrid language";
"  
Yes. The premise states that Latin was used as a lingua franca in many parts of";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that from the beginning of human";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise suggests that there is a correlation";
"  
Yes, the premise entails the hypothesis. The premise suggests that there is a correlation between";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Richard Lederer";
"  
Yes, the premise does entail the hypothesis. The premise states that there was an unexpected";
"  
Yes, the premise does entail the hypothesis. The premise states that there was an un";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the speaker has not lived";
"  
Yes, the premise entails the hypothesis because if the speaker did not have money on the continent";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Sjøl";
"  
Yes, the premise entails the hypothesis because if the premise is true then it follows log";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis because it implies that there are many people who have";
"  
Yes, the premise entails the hypothesis because it provides a basis for why there may be few";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Merkeretten, som fyller meir enn two bind";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if you sympathize with people and reject the term";
"  
Yes, the premise entails the hypothesis because if you sympathize with people and reject the term";
"  
Yes, the premise entails the hypothesis. The use of the phrase ""långe ut";
"  
Yes, the premise entails the hypothesis. The premise states that Nields is happy";
"  
Yes, the premise entails the hypothesis because if a chairman of a program makes his own introdu";
"  
Yes, the premise entails the hypothesis because if there is no lawmaker who will make an";
"  
Yes";
"  
No";
"  
Yes, the premise entails the hypothesis. The premise states that ""Slike kompos";
"  
Yes, the premise entails the hypothesis. The premise states that ""Slike kompos";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there are no symptoms of syphilis";
"  
Yes, the premise entails the hypothesis because if there is an outbreak of a disease on";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the names were written in uppercase letters only";
"  
Yes, the premise entails the hypothesis because if someone is sitting at a computer and typing in";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The definition of a cliché as an expression";
"  
Yes, the premise entails the hypothesis because if a cliché is defined as an expression";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise provides a general explanation for how";
"  
Yes, the premise does entail the hypothesis. The premise states that ""det er s";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise ""Sigmund Freud";
"  
No, the premise does not entail the hypothesis. The premise simply states that Freud";
"  
Yes, the premise entails the hypothesis. The premise states that people are generally less motiv";
"  
Yes, the premise entails the hypothesis. The premise states that people are generally less motiv";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if pengar (a type of coin)";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there are more than 100 types";
"  
Yes, the premise entails the hypothesis because if there are more than 100 types";
 The premise states;
"  
Yes""";
"  
Yes, the premise does entail the hypothesis. The premise states that Section 8 is";
"  
Yes, the premise entails the hypothesis. The premise provides a basis for why someone would";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""we knew what it";
"  
Yes, the premise entails the hypothesis. The premise states that we knew what it meant";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there was a large";
"  
Yes, the premise does entail the hypothesis. The premise states that there was a large";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because it suggests that there is a gap or dis";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if men want to be perceived as naive";
"  
Yes, the premise entails the hypothesis because if men want to be seen as innocent and";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there are more intelligent";
"  
Yes, the premise entails the hypothesis because if there are more curious animals in the forest,";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise ""Han sprang opp og";
"  
Yes, the premise entails the hypothesis. The premise ""Han sprang opp og";
"  
Yes, the premise entails the hypothesis. The word ""Svenska"" in both prem";
"  
Yes, the premise entails the hypothesis. The word ""kyrkja"" in Norwegian";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that some groups need to";
"  
Yes, the premise entails the hypothesis because if there are no new meanings to be created";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No. The premise does not entail the hypothesis. While it is true that some people in";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes, the premise entails the hypothesis. The premise states that there are other ways of";
"  
Yes, the premise entails the hypothesis. The premise states that there are other ways of";
"  
Yes, the premise entails the hypothesis. The premise states that banket is not a";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise states that """;
"  
No";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The sentence ""Takk fordi du to";
"  
Yes, the premise entails the hypothesis. The sentence ""Takk fordi du to";
"  
Yes, the premise does entail the hypothesis. The premise states that the patient experienced """;
"  
Yes, the premise entails the hypothesis. The premise states that the patient had a """;
"  
Yes, the premise entails the hypothesis. The premise states that Via di Ripetta";
"  
Yes, the premise does entail the hypothesis. The premise states that Via di Rip";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is a lingu";
"  
Yes, the premise does entail the hypothesis. The premise states that there is a lingu";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because it provides evidence that English and Inglish are";
"  
Yes. The premise does entail the hypothesis because if English and Inglish are different languages,";
"  
Yes, the premise does entail the hypothesis. The premise states that it is risky";
"  
Yes, the premise entails the hypothesis. The premise states that one should be caut";
"  
Yes";
"  
Yes";
 The premise states that;
 The premise states that;
