"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis. The premise states that Indiana residents can receive";;
"  
Yes, the premise entails the hypothesis because if there is a young couple in the room,";;
"  
Yes, the premise does entail the hypothesis because if all the people in the video are older";;
"  
Yes, the premise does entail the hypothesis. The premise states that everyone has been grad";;
"  
Yes, the premise does entail the hypothesis. The premise states that everyone has been grad";;
"  
Yes, the premise does entail the hypothesis because the premise suggests that making our same-";;
"  
Yes, the premise entails the hypothesis because the premise provides a general goal for improving";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if there are two planes of friends (the";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because if there are no more donations needed,";;
"  
Yes, the premise does entail the hypothesis. The premise states that it is ""the";;
"  
Yes, the premise does entail the hypothesis. The premise provides background information about a specific";;
"  
Yes, the premise does entail the hypothesis. The premise states that Amali's";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are many things";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are many more";;
"  
Yes, the premise does entail the hypothesis because it provides a reason why one might not want";;
"  
Yes, the premise does entail the hypothesis. The premise provides a basis for the hypothesis";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it suggests that Michael Apted has intention";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that there has been a";;
"  
Yes, the premise does entail the hypothesis because if a girl is seen in a white dress";;
"  
Yes, die premise does entail die hypotesis. The premise states that ""om";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Rockefeller was";;
"  
Yes, the premise does entail the hypothesis. The premise states that Rockefeller was";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it implies that athletes are born with their";;
"  
Yes. The premise does entail the hypothesis because it suggests that training has a greater impact on";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Oxford University has announced";;
"  
Yes, the premise entails the hypothesis. The premise states that Oxford University has announced that";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a trick";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a truth";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis. The premise states that sports events are not";;
"  
Yes, the premise does entail the hypothesis. The premise states that sport is not the";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if Lamar Alexander does not become President, then";;
"  
Yes, the premise entails the hypothesis. The premise states that Lamar Alexander let his";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Lawrence Singleton;"n berugte verkrachter wat sy slagoffer se voorarms afgekap het en daarna net agt jaar in die tronk deurgebring het, is in hegtenis geneem weens die doodslag van 'n ander vrou in Florida. 
Hypothesis:  Dit was vir almal duidelik dat sy tyd in die tronk hom heeltemal herstel het. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Lawrence Singleton;"n berugte verkrachter wat sy slagoffer se voorarms afgekap het en daarna net agt jaar in die tronk deurgebring het, is in hegtenis geneem weens die doodslag van 'n ander vrou in Florida. 
Hypothesis:  Mnr Singleton is 'n veroordeelde verkrachter in Florida. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis because it suggests that Charles Lane's article in";;
"  
Yes, the premise entails the hypothesis because it provides a logical connection between the two statements.";;
"  
Yes. The premise does entail the hypothesis because it suggests that there are many options for challeng";;
"  
Yes, I believe that the premise does entail the hypothesis. The premise sets out a";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a problem";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";;
"  
Yes, the premise does entail the hypothesis. The premise states that the White House is";;
"  
Yes, the premise entails the hypothesis because it implies that there is a circus-like";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if the government were to make a few large";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the World Health Organization (WHO)";;
"  
Yes, the premise does entail the hypothesis. The premise states that the World Health Organ";;
 The premise explicitly states that Jacob Weisberg wrote an excellent;;
  The premise states that Jacob Weisberg has an excellent;;
"  
Yes, the premise does entail the hypothesis. The premise sets up a scenario where b";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a scenario where research";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise provides a reason why someone might";;
"  
Yes, the premise does entail the hypothesis. The premise states that it is better to";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the cost of a";;
"  
Yes, the premise does entail the hypothesis. The cost of maintaining a microwave";;
"  
Yes, the premise entails the hypothesis. The premise states that there is no sexual ar";;
"  
Yes, the premise entails the hypothesis. The premise states that sexual arousal can";;
"  
Yes, the premise entails the hypothesis because the premise provides a basis for the hypothesis to";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if some of these concepts have been successful in an";;
"  
Yes, the premise does entail the hypothesis. The premise provides evidence that some of these";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Samuel Sheinbe";;
"  
Yes, the premise does entail the hypothesis. The premise states that Samuel Sheinbe";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the Senate has approved a new agency for";;
"  
Yes, the premise entails the hypothesis. The premise states that the Senate has approved a";;
 The premise states that;;
"  
Yes, die politisering van byna everything has led to a standstill. The prem";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that this is the ult";;
"  
Yes, the premise does entail the hypothesis. The premise states that this is the final";;
"  
Yes, the premise does entail the hypothesis. The premise states that Rudolph Giuliani";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a scenario in which";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where there";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""inhoud";;
  The premise;;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""My second statement";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""My second th";;
"  
Yes, the premise does entail the hypothesis. The premise states that the general opinion about";;
"  
Yes, the premise does entail the hypothesis. The premise states that the general opinion about";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Sullivan reject";;
"  
Yes, the premise entails the hypothesis. The premise states that Sullivan calls the";;
"  
Yes. The premise does entail the hypothesis because it suggests that the Taliban regime was";;
"  
Yes. The premise does entail the hypothesis because it suggests that the non-Pasht";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Newsweek will reve";;
"  
Yes, the premise does entail the hypothesis. The premise states that professional wrestling is";;
"  
Yes, the premise does entail the hypothesis. The premise states that democratic development";;
"  
Yes, the premise does entail the hypothesis. The premise states that democratic development";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that a part of the";;
"  
Yes, the premise does entail the hypothesis. The premise states that a part of the";;
"  
Yes, the premise does entail the hypothesis. The premise mentions that most of the debate";;
"  
Yes, the premise does entail the hypothesis. The premise states that most of the debate";;
"  
Yes, the premise entails the hypothesis. The premise mentions ""U-Haul""";;
"  
Yes, the premise entails the hypothesis. The premise states that you called U-Ha";;
"  
Yes, the premise entails the hypothesis because if HMOs cannot control costs in the long";;
"  
Yes, the premise entails the hypothesis because if HMOs are unable to control costs on";;
"  
Yes, the premise does entail the hypothesis. The premise states that the NATO'";;
"  
Yes, the premise does entail the hypothesis. The premise states that the NATO'";;
"  
Yes, the premise does entail the hypothesis. The premise states that it is difficult to";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it provides a logical explanation for why people would";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Pamela Harriman, die Amerikaanse ambassadeur in Frankryk;"n legendariese Demokratiese Party-finansier, en die vrou en minnaar van groot manne van die 20ste eeu, het op 76 jaar aan 'n breinbloeding gesterf. 
Hypothesis:  Harriman was al baie keer getroud. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes. The premise does entail the hypothesis because it suggests that Harriman had multiple romantic";
  Pamela Harriman, die Amerikaanse ambassadeur in Frankryk;"n legendariese Demokratiese Party-finansier, en die vrou en minnaar van groot manne van die 20ste eeu, het op 76 jaar aan 'n breinbloeding gesterf. 
Hypothesis:  Harriman was 'n man wat die Amerikaanse ambassadeur in China was. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
No";
  Inteendeel;"n regering se aanbod van geld is nie dwang nie - en is nie eens op die afstand vergelykbaar met wat in China aangaan nie. 
Hypothesis:  Die regering kan geld aanbied sonder dat dit as' n omkoopgeskenk beskou word. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes. The premise does entail the hypothesis because if the government offers money without coercion";
  Inteendeel;"n regering se aanbod van geld is nie dwang nie - en is nie eens op die afstand vergelykbaar met wat in China aangaan nie. 
Hypothesis:  Die regering is duidelik omkoopgeld mense as hulle enige geld gee 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes
Explanation: The premise states that an offer of money by a government is not";
"  
Yes";;
"  
Yes";;
 The premise states that the administration makes mistakes over simple things,;;
 The premise states that the administration makes mistakes over simple things like;;
"  
Yes, the premise does entail the hypothesis because the premise states that there is nothing susp";;
"  
Yes, the premise does entail the hypothesis. The premise states that you are looking for";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The speaker is asking how many people read S";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that a dollar is";;
"  
Yes, the premise does entail the hypothesis. The premise states that a dollar is";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Wat on";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Wat on";;
"  
Yes, the premise entails the hypothesis. The premise states that there are certain issues that";;
"  
Yes, the premise entails the hypothesis because if one ignores the issues mentioned in the prem";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""the high-";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are many challeng";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that 3 milligr";;
"  
Yes, the premise does entail the hypothesis. The premise states that 3 milligr";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that you should have difficulty";;
"  
Yes, the premise entails the hypothesis because if Bradley has chosen to oppose the eth";;
"  
Yes, the premise does entail the hypothesis. The premise states that Bradley did not";;
"  
Yes. The premise does entail the hypothesis because if it is true that ""what we know";;
"  
Yes. The premise does entail the hypothesis because if what we know about life on Earth is";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Clinton administration";;
"  
No, I don't think so. The premise and hypothesis are mutually exclusive, meaning";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Smithsonian";;
"  
Yes, the premise does entail the hypothesis because if the Smithsonian Institution has a website";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the grandparents";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""the parents of";;
"  
No, it does not entail the hypothesis. The premise and the hypothesis are mutually exclusive";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where something";;
"  
Yes, the premise does entail the hypothesis because if there is no evidence that the military tradition";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it implies that Donald Trump lacks the ability";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is something anno";;
"  
Yes";;
" The premise states that North America was first settled by a ""R";;
"  
Yes, die premise entails die hypothesis. The premise states that a certain group of people";;
"  
Yes, die premise does entail die hypothesis. This means that if the premise is true";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""We";;
"  
Yes, the premise does entail the hypothesis. The premise states that you understand what is";;
"  
Yes, the premise does entail the hypothesis. The premise states that certain files cannot be";;
"  
Yes, the premise does entail the hypothesis. The premise states that the .dll file";;
"  
Yes, the premise does entail the hypothesis. The premise states that the people at the";;
"  
Yes, the premise entails the hypothesis. The premise states that the people at the a";;
"  
Yes. The premise does entail the hypothesis because if there are more camps in an area";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the outburst";;
"  
Yes, the premise does entail the hypothesis. The premise states that there have been three";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a scenario where you";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because if the Dow Jones is not a reliable measure";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Dow Jones is";;
"  
Yes, the premise does entail the hypothesis. The premise states that one of the most";;
"  
Yes, the premise entails the hypothesis because if the concern about relative position disappears in interactions";;
"  
Yes, the premise does entail the hypothesis. The premise states that Henry Louis Gates";;
"  
Yes, the premise does entail the hypothesis. The premise states that Henry Louis Gates";;
 The premise states that ownership is an endless succession of episodes;;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Sal enig";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is an en";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Die ops";;
  The premise;;
"  
Yes, the premise does entail the hypothesis. The premise states that you are considering bu";;
"  
Yes, the premise does entail the hypothesis. The premise states that you will buy a";;
"  
Yes, the premise does entail the hypothesis. The premise states that there will be no";;
"  
Yes, the premise does entail the hypothesis. The premise states that there will be problems";;
"  
Yes, the premise entails the hypothesis because if de Kooning was still alive at the";;
"  
Yes, the premise does entail the hypothesis. The premise states that de Kooning";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it provides a basis for why Scholastic";;
"  
Yes, the premise does entail the hypothesis because it implies that there are no undercover teachers";;
 The premise states that Clinton and Birch are trying to promote;;
" The premise ""Om die beeld van homoseksualiteit";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a fundamental";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that something is located """;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ware gera";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""ware gera";;
"  
Yes, the premise entails the hypothesis. The premise suggests that the studies ignored simple truth";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that the study ignores";;
"  
Yes, the premise does entail the hypothesis. The premise states that American companies have become";;
"  
Yes, the premise does entail the hypothesis. The premise states that American companies have become";;
"  
Yes, the premise does entail the hypothesis. The premise provides evidence for the hypothesis by";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if Sal did not want to go to the With";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Sal die Withuis";;
"  
Yes, the premise does entail the hypothesis. The premise states that Russia is facing increasing";;
"  
Yes, the premise entails the hypothesis. The premise states that there are increasing challenges";;
"  
Yes, the premise entails the hypothesis. The FDA's regulations have made it";;
"  
Yes. The premise states that the FDA's regulations make it more difficult for adult";;
"  
Yes, the premise entails the hypothesis because the premise provides a general framework for understanding how";;
  The premise;;
"  
Yes";;
"  
Yes";;
 The premise states that the national park is being overrun by ex;;
 The premise suggests that the national park is overcrowded due;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The definition of ""ek"" is not found";;
"  
Yes, the premise entails the hypothesis. The absence of a definition for something in a dictionary";;
"  
Yes, the premise does entail the hypothesis. The premise ""Hoe kan iem";;
"  
Yes, the premise does entail the hypothesis. The premise provides a general explanation for why";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The name ""Split Ends"" clearly implies";;
"  
Yes, the premise does entail the hypothesis. The name ""Split Ends"" implies that";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise provides a clear and concise";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it states that illiteracy and writing ability";;
"  
Yes. The premise does entail the hypothesis because if a society is industrialized, it means";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ten slotte must";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that heat can cause dizz";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is no other";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is no other";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that beer can have a";;
"  
Yes, the premise entails the hypothesis because it provides a basis for why lite and light";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if the independent nameword is not necessary and";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if you say ""Vandag moet on";;
"  
Yes, the premise does entail the hypothesis. The phrase ""die gepenneerde beeste";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that original metaphors are";;
"  
Yes, the premise entails the hypothesis. The premise states that original animal metaphors";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where it";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that it is easy to";;
"  
Yes, the premise entails the hypothesis. The premise states that the association of money with";;
"  
Yes, the premise entails the hypothesis because if there is an association between the names of money";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes] ";;
"  
Yes] ";;
"  
Yes, the premise does entail the hypothesis. The premise states that there has been an";;
"  
Yes, the premise does entail the hypothesis. The premise states that there was a lot";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
" ""Ek is 'n wetsvervalser";"n berghond!"" 
Hypothesis:  Met ander woorde, dit beteken dat ek die wet te alle tye gehoorsaam. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
" ""Ek is 'n wetsvervalser";"n berghond!"" 
Hypothesis:  Dit is 'n manier om te sê dat ek 'n wetslose persoon is. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if something is outside of a person, it";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that there are more likely";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that there may be a";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if every day is changed to a different number,";;
"  
Yes, the premise entails the hypothesis because if every day is turned into a Tuesday";;
"  
Yes, the premise entails the hypothesis. The premise states that an example comes from VI";;
"  
Yes, the premise entails the hypothesis because if VIP does not exist as an example,";;
"  
Yes, the premise entails the hypothesis. The premise states that grammatica and gl";;
"  
Yes, the premise entails the hypothesis. The word ""glamour"" has its roots";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise states that ""As byvoeglike naamwoorde etniese terme";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the words are miss";;
"  
Yes, the premise does entail the hypothesis. The premise states that the book contains doubt";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Gonsende was 'n nuuskierige term vir hard vroulike gelag;"n slegte werker is genoem sy verskoning kan goed wees, Ou Laurence het vandag het my! 
Hypothesis:  Gekraak verwys na 'n baba se lag. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Gonsende was 'n nuuskierige term vir hard vroulike gelag;"n slegte werker is genoem sy verskoning kan goed wees, Ou Laurence het vandag het my! 
Hypothesis:  Hulle het die vrou se harde lag 'n naam gegee. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes""";;
"  
Yes""";;
"  
Yes, the premise does entail the hypothesis. The premise states that the person has been";;
"  
Yes";;
"  
Yes. The premise states that most of Kaplan's generation has been wiped out";;
"  
Yes. The premise states that most of Kaplan's generation has been wiped out";;
"  
Yes, the premise does entail the hypothesis. The premise states that all English speakers";;
"  
Yes, the premise does entail the hypothesis. The premise states that all English speakers";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if ""echar sapos y culebras";;
"  
Yes, the premise entails the hypothesis. The premise states that Spanish curses and ins";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that people at the beginning";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if nobody ever asks for money while looking good,";;
"  
Yes, the premise entails the hypothesis. The premise states that ""bedelwerk""";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The absence of a hyphen in an encoded mathematical";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it provides a logical explanation for why the two reference";;
"  
Yes. The premise does entail the hypothesis because if Lukretius did not exist";;
"  
No. The premise does not entail the hypothesis. While the premise states that nothing comes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that you wanted to buy";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Nie el";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Nie el";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Pols-";;
  The premise;;
"  
Yes, the premise does entail the hypothesis because it implies that there are no shepherd";;
  The premise;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise ""There are no laws or regulations regarding trade marks"" implies that there";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the speaker can understand why";;
"  
Yes, the premise entails the hypothesis. The premise states that the speaker can understand why";;
"  
Yes";;
"  
Yes";;
  Byvoorbeeld;"n programvoorsitter het 'n paar lofprysende inleidende opmerkings oor 'n.. 
Hypothesis:  'n Voorsitter van die program het 'n paar inleidende opmerkings voorberei. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Byvoorbeeld;"n programvoorsitter het 'n paar lofprysende inleidende opmerkings oor 'n.. 
Hypothesis:  Niemand het enige inleidende opmerkings voorberei nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the fire began in the narrow part of the";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are no sympt";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Om maar een ding te noem;"n cliché kan gedefinieer word as 'n verbeeldingryke uitdrukking wat deur herhaling sy verbeelding verloor het. 
Hypothesis:  Klichés is 'n sekere soort uitdrukking. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Om maar een ding te noem;"n cliché kan gedefinieer word as 'n verbeeldingryke uitdrukking wat deur herhaling sy verbeelding verloor het. 
Hypothesis:  Kletsers is heerlike kos. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes. The premise ""Om maar een ding te noem";n cliché
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise provides a general explanation for how";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where money";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise ""Sigmund Freud";;
"  
Yes, the premise does entail the hypothesis. The premise states that Freud was never";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that money has a name for";;
"  
Yes, the premise entails the hypothesis because if money can be named after things or animals,";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are different ways";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a sound";;
"  
Yes, the premise does entail the hypothesis. The premise states that the person in question";;
"  
Yes, the premise does entail the hypothesis. The premise states that the person in question";;
"  
Yes";;
"  
Yes";;
  The premise;;
  The;;
 The premise states that Mr. Levitt's daughter was;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Dit lyk of dit 'n middelpunt tussen politeïsme en monoteïsme is;"n nuttige begrip wat 'n ontbrekende skakel in die evolusionêre proses voorsien. 
Hypothesis:  Dit hou beslis niks met politeïsme en monoteïsme te doen nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
